lemma,lila_id,synset_id,sem_type,definition_pt,lexemes_pt,argumentSet
consto,lilaLemma:96151,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01546111-v"" target=""_blank"">01546111-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;estar de pé; estar na vertical</small><br>,"<small><small>lexemas:</small></small>&ensp;ficar de pé, levantar<br>","<small><small>valências:&ensp;[ACT] ou [ACT,PAT] ou [ACT,LOC]</small></small><br>"
consumo,lilaLemma:96194,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01565360-v"" target=""_blank"">01565360-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;destruir completamente</small><br>,<small><small>lexemas:</small></small>&ensp;devorar<br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
consumo,lilaLemma:96194,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01254324-v"" target=""_blank"">01254324-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;diminuir, como por atrito</small><br>","<small><small>lexemas:</small></small>&ensp;desgastar, erodir, gastar<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
consumo,lilaLemma:96194,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01564144-v"" target=""_blank"">01564144-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;destruir completamente; danificar irreparavelmente</small><br>,"<small><small>lexemas:</small></small>&ensp;arruinar, destroçar, destruir, estraçalhar, abalar, aniquilar, arrasar, dar_cabo_de, demolir, derribar, desfazer, despedaçar, devastar, estragar, estuporar, prejudicar<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
consumo,lilaLemma:96194,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01323958-v"" target=""_blank"">01323958-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;causar a morte; levar a morte, geralmente intencionalmente ou conscientemente</small><br>","<small><small>lexemas:</small></small>&ensp;O fazendeiro matou um porco para o Natal., matar<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
consumo,lilaLemma:96194,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01582409-v"" target=""_blank"">01582409-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;delimite ou envolver completamente, como se por engolir</small><br>",<small><small>lexemas:</small></small>&ensp;sepultar<br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
contineo,lilaLemma:96292,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01220303-v"" target=""_blank"">01220303-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;segurar com firmeza, geralmente com as mãos</small><br>","<small><small>lexemas:</small></small>&ensp;aferrar, enganchar<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
contineo,lilaLemma:96292,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01340439-v"" target=""_blank"">01340439-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;fazer com que algo esteja firmemente fixado</small><br>,"<small><small>lexemas:</small></small>&ensp;fixar, prender, assegurar<br>","<small><small>valências:&ensp;[ACT,ADDR,PAT] ou [ACT,PAT] ou [ACT,LOC,PAT] ou [ACT,PAT,LOC]</small></small><br>"
contineo,lilaLemma:96292,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01354673-v"" target=""_blank"">01354673-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;ligar, prender, ou unir duas ou mais peças</small><br>","<small><small>lexemas:</small></small>&ensp;juntar, ligar, reunir, unir, acoplar, associar, casar, conectar, grudar, relacionar<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACMP,ACT,PAT] ou [ACT,ADDR,PAT] ou [ACT,PAT,ACMP] ou [ACT,DIR3,PAT]</small></small><br>"
contineo,lilaLemma:96292,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01301051-v"" target=""_blank"">01301051-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;segurar</small><br>,"<small><small>lexemas:</small></small>&ensp;constrangir, conter, restringir<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,MEANS,PAT] ou [ACT,EFF,PAT] ou [ACT,PAT,ORIG]</small></small><br>"
contineo,lilaLemma:96292,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01467370-v"" target=""_blank"">01467370-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;estender em todos os lados ao mesmo tempo; cercar</small><br>,"<small><small>lexemas:</small></small>&ensp;contornar, rodear<br>","<small><small>valências:&ensp;[ACT,MEANS,PAT] ou [ACT,PAT] ou [ACT,ADDR,PAT] ou [ACT,PAT,MEANS] ou [ACT,LOC]</small></small><br>"
contineo,lilaLemma:96292,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01301410-v"" target=""_blank"">01301410-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;botar algo dentro de limites, limitar ou delimitar o movimento</small><br>","<small><small>lexemas:</small></small>&ensp;confinar, deter, manter, prender, reter, aguentar, agüentar, conter, sujeitar<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,LOC,PAT] ou [ACT,PAT,LOC] ou [ACT,DIR3,PAT]</small></small><br>"
contineo,lilaLemma:96292,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01217043-v"" target=""_blank"">01217043-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;ser o suporte físico de; carregar o peso de</small><br>,"<small><small>lexemas:</small></small>&ensp;segurar, suportar, sustentar, suster, aguentar, agüentar, apoiar<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
contingo,lilaLemma:96293,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01205696-v"" target=""_blank"">01205696-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;ter contato físico direto com algo; fazer contato (físico)</small><br>,"<small><small>lexemas:</small></small>&ensp;encostar, tocar, contactar<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,DIR3]</small></small><br>"
contingo,lilaLemma:96293,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01206218-v"" target=""_blank"">01206218-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;fazer contato físico com, entrar em contato com</small><br>","<small><small>lexemas:</small></small>&ensp;bater, tocar, contactar, contatar<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
contingo,lilaLemma:96293,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01376245-v"" target=""_blank"">01376245-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;distribuir descuidadosamente, salpicar</small><br>","<small><small>lexemas:</small></small>&ensp;espalhar, salpicar<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,LOC] ou [ACT,LOC,PAT]</small></small><br>"
conuerto,lilaLemma:96446,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01309701-v"" target=""_blank"">01309701-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;soltar ou remover terra</small><br>,<small><small>lexemas:</small></small>&ensp;cavar<br>,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,DIR1,DIR3]</small></small><br>"
deduco,lilaLemma:98210,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01433294-v"" target=""_blank"">01433294-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;ir ou vir depois e trazer ou levar de volta</small><br>,"<small><small>lexemas:</small></small>&ensp;pegar, transmitir, trazer, levar, segurar<br>","<small><small>valências:&ensp;[ACT,DIR1,PAT] ou [ACT,DIR3,PAT] ou [ACT,PAT] ou [ACT,PAT,DIR3]</small></small><br>"
deduco,lilaLemma:98210,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01239862-v"" target=""_blank"">01239862-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;causar a vir ou ir para baixo</small><br>,<small><small>lexemas:</small></small>&ensp;derrubar<br>,"<small><small>valências:&ensp;[ACT,DIR3,PAT] ou [ACT,PAT] ou [ACT,DIR1,PAT]</small></small><br>"
deduco,lilaLemma:98210,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01515415-v"" target=""_blank"">01515415-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;lançamento pela primeira vez; lançamento em uma viagem inaugural</small><br>,"<small><small>lexemas:</small></small>&ensp;arrojar, lançar<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
defendo,lilaLemma:98236,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01506157-v"" target=""_blank"">01506157-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;causa para mover de volta pela força ou influência</small><br>,<small><small>lexemas:</small></small>&ensp;repelir<br>,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,ADDR,PAT] ou [ACT,DIR1,PAT] ou [ACT,PAT,DIR3]</small></small><br>"
defendo,lilaLemma:98236,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01217043-v"" target=""_blank"">01217043-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;ser o suporte físico de; carregar o peso de</small><br>,"<small><small>lexemas:</small></small>&ensp;segurar, suportar, sustentar, suster, aguentar, agüentar, apoiar<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
defero,lilaLemma:98252,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01433294-v"" target=""_blank"">01433294-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;ir ou vir depois e trazer ou levar de volta</small><br>,"<small><small>lexemas:</small></small>&ensp;pegar, transmitir, trazer, levar, segurar<br>","<small><small>valências:&ensp;[ACT,DIR1,PAT] ou [ACT,DIR3,PAT] ou [ACT,PAT] ou [ACT,PAT,DIR3]</small></small><br>"
defero,lilaLemma:98252,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01432601-v"" target=""_blank"">01432601-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;mover-se enquanto segura ou apoia algo</small><br>,"<small><small>lexemas:</small></small>&ensp;carregar, nascer, trazer<br>","<small><small>valências:&ensp;[ACT,DIR3,PAT] ou [ACT,PAT] ou [ACT,DIR1,DIR3,PAT]</small></small><br>"
defero,lilaLemma:98252,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01449974-v"" target=""_blank"">01449974-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;movimentar-se segurando algo, tanto em um veículo quanto com as mãos ou em um corpo</small><br>","<small><small>lexemas:</small></small>&ensp;carregar, levar, transportar<br>","<small><small>valências:&ensp;[ACT,DIR3,PAT] ou [ACT,LOC,PAT] ou [ACT,PAT] ou [ACT,ADDR,PAT] ou [ACT,PAT,DIR1,DIR3] ou [ACT,DIR1,DIR3,PAT]</small></small><br>"
defero,lilaLemma:98252,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01408760-v"" target=""_blank"">01408760-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;impulsionar, &quot;Leve a bola&quot;</small><br>","<small><small>lexemas:</small></small>&ensp;driblar, levar<br>","<small><small>valências:&ensp;[ACT,DIR3,PAT]</small></small><br>"
defero,lilaLemma:98252,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01438304-v"" target=""_blank"">01438304-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;levar a um destino, fazer uma entrega</small><br>","<small><small>lexemas:</small></small>&ensp;entregar, remeter, libertar, livrar<br>","<small><small>valências:&ensp;[ACT,ADDR,PAT] ou [ACT,DIR3,PAT] ou [ACT,PAT,ADDR]</small></small><br>"
deficio,lilaLemma:98257,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01460029-v"" target=""_blank"">01460029-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;separado por passagem através de uma peneira ou outro dispositivo de esticar de forma a separar os elementos mais grossos</small><br>,"<small><small>lexemas:</small></small>&ensp;cindir, discernir<br>","<small><small>valências:&ensp;[ACT,ORIG,PAT] ou [ACT,PAT]</small></small><br>"
diuido,lilaLemma:99932,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01458973-v"" target=""_blank"">01458973-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;dividir em componentes ou ingredientes</small><br>,<small><small>lexemas:</small></small>&ensp;separar<br>,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,ORIG,PAT] ou [ACT,ADDR,PAT]</small></small><br>"
diuido,lilaLemma:99932,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01463963-v"" target=""_blank"">01463963-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;colocar em uma ordem adequada ou sistemática</small><br>,"<small><small>lexemas:</small></small>&ensp;arranjar, dispor, colocar<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,LOC] ou [ACT,LOC,PAT] ou [ACT,EFF,PAT]</small></small><br>"
diuido,lilaLemma:99932,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01556921-v"" target=""_blank"">01556921-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;forçar, tomar ou separar</small><br>","<small><small>lexemas:</small></small>&ensp;dividir, partir, separar<br>","<small><small>valências:&ensp;[ACT,ORIG,PAT] ou [ACT,PAT] ou [ACT,PAT,ORIG] ou [ACT,DIR1,PAT] ou [ACT,ADDR,PAT] ou [ACT,PAT,DIR1]</small></small><br>"
diuido,lilaLemma:99932,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01560984-v"" target=""_blank"">01560984-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;definir ou separar</small><br>,"<small><small>lexemas:</small></small>&ensp;apartar, apartar-se, cortar, dividir, separar, separar-se, terminar<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,ORIG]</small></small><br>"
diuido,lilaLemma:99932,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01378556-v"" target=""_blank"">01378556-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;distribuir ou espalhar amplamente</small><br>,"<small><small>lexemas:</small></small>&ensp;disseminar, distribuir, espalhar, despregar, difundir, divulgar, estender, propagar<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
differo,lilaLemma:99342,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01556921-v"" target=""_blank"">01556921-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;forçar, tomar ou separar</small><br>","<small><small>lexemas:</small></small>&ensp;dividir, partir, separar<br>","<small><small>valências:&ensp;[ACT,ORIG,PAT] ou [ACT,PAT] ou [ACT,PAT,ORIG] ou [ACT,DIR1,PAT] ou [ACT,ADDR,PAT] ou [ACT,PAT,DIR1]</small></small><br>"
differo,lilaLemma:99342,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01567275-v"" target=""_blank"">01567275-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;colocar ou conjunto (sementes, mudas ou plantas) para o chão</small><br>","<small><small>lexemas:</small></small>&ensp;colocar, plantar, pôr<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,LOC,PAT] ou [ACT,PAT,LOC] ou [ACT,PAT,MEANS] ou [ACMP,ACT,PAT]</small></small><br>"
differo,lilaLemma:99342,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01376245-v"" target=""_blank"">01376245-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;distribuir descuidadosamente, salpicar</small><br>","<small><small>lexemas:</small></small>&ensp;espalhar, salpicar<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,LOC] ou [ACT,LOC,PAT]</small></small><br>"
dimitto,lilaLemma:99509,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01513430-v"" target=""_blank"">01513430-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;livrar-se de</small><br>,"<small><small>lexemas:</small></small>&ensp;jogar fora, lançar<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
discedo,lilaLemma:99589,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01511380-v"" target=""_blank"">01511380-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;lançamento de algo que detém rápido, liga ou envolve</small><br>",<small><small>lexemas:</small></small>&ensp;retirar<br>,"<small><small>valências:&ensp;[ACT,ORIG] ou [ACT,PAT]</small></small><br>"
dono,lilaLemma:100087,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01438304-v"" target=""_blank"">01438304-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;levar a um destino, fazer uma entrega</small><br>","<small><small>lexemas:</small></small>&ensp;entregar, remeter, libertar, livrar<br>","<small><small>valências:&ensp;[ACT,ADDR,PAT] ou [ACT,DIR3,PAT] ou [ACT,PAT,ADDR]</small></small><br>"
duco,lilaLemma:100196,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01511706-v"" target=""_blank"">01511706-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;motivos para seguir em frente com força</small><br>,"<small><small>lexemas:</small></small>&ensp;impulsionar, propulsar, propulsionar, tocar, estimular<br>","<small><small>valências:&ensp;[ACT,PAT,DIR3] ou [ACT,PAT,DIR1,DIR3] ou [ACT,DIR3,PAT] ou [ACT,ADDR,PAT] ou [ACT,PAT]</small></small><br>"
duco,lilaLemma:100196,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01582645-v"" target=""_blank"">01582645-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;fazer uma marca ou linhas em uma superfície</small><br>,"<small><small>lexemas:</small></small>&ensp;delinear, traçar, descrever, desenhar<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
duco,lilaLemma:100196,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01463963-v"" target=""_blank"">01463963-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;colocar em uma ordem adequada ou sistemática</small><br>,"<small><small>lexemas:</small></small>&ensp;arranjar, dispor, colocar<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,LOC] ou [ACT,LOC,PAT] ou [ACT,EFF,PAT]</small></small><br>"
duco,lilaLemma:100196,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01448100-v"" target=""_blank"">01448100-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;fazer com que algo se mova, puxando</small><br>","<small><small>lexemas:</small></small>&ensp;arredar, puxar, tirar, arrastar, esticar<br>","<small><small>valências:&ensp;[ACT,PAT,DIR3] ou [ACT,PAT] ou [ACT,DIR3,PAT] ou [ACT,DIR1,PAT] ou [ACT,PAT,DIR1,DIR3]</small></small><br>"
effundo,lilaLemma:100687,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01541579-v"" target=""_blank"">01541579-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;causar ou permitir (uma substância sólida) de correr ou derramar</small><br>,"<small><small>lexemas:</small></small>&ensp;derramar, verter<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,LOC]</small></small><br>"
effundo,lilaLemma:100687,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01377571-v"" target=""_blank"">01377571-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;atirar como se em um voleio</small><br>,<small><small>lexemas:</small></small>&ensp;saraivar<br>,"<small><small>valências:&ensp;[ACT,PAT,LOC]</small></small><br>"
effundo,lilaLemma:100687,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01468576-v"" target=""_blank"">01468576-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;colocar para fora ou expulsar um lugar</small><br>,"<small><small>lexemas:</small></small>&ensp;dividir, ejetar, excluir, separar, jogar<br>","<small><small>valências:&ensp;[ACT,DIR3,PAT] ou [ACT,PAT,DIR1,DIR3] ou [ACT,PAT] ou [ACT,DIR1,PAT]</small></small><br>"
effundo,lilaLemma:100687,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01527754-v"" target=""_blank"">01527754-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;fazer cair</small><br>,"<small><small>lexemas:</small></small>&ensp;derrubar, desmontar<br>","<small><small>valências:&ensp;[ACT,DIR3,PAT] ou [ACT,PAT,LOC]</small></small><br>"
effundo,lilaLemma:100687,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01579813-v"" target=""_blank"">01579813-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;espalhar ou abrir de um estado fechado ou dobrado</small><br>,"<small><small>lexemas:</small></small>&ensp;abrir, desdobrar, desfraldar, despregar, difundir, estender<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,LOC,PAT] ou [ACT,DIR3,PAT]</small></small><br>"
effundo,lilaLemma:100687,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01541803-v"" target=""_blank"">01541803-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;Despeje em gotas ou em pequenas quantidades ou como se em gotas ou pequenas quantidades</small><br>,"<small><small>lexemas:</small></small>&ensp;respingar, verter<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,LOC]</small></small><br>"
effundo,lilaLemma:100687,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01377032-v"" target=""_blank"">01377032-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;derramar ou liberar</small><br>,"<small><small>lexemas:</small></small>&ensp;derramar, desaguar, descarregar<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,DIR3,PAT] ou [ACT,LOC,PAT] ou [ACT,PAT,LOC]</small></small><br>"
effundo,lilaLemma:100687,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01524523-v"" target=""_blank"">01524523-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;Preencher rapidamente além da capacidade; como um líquido</small><br>,"<small><small>lexemas:</small></small>&ensp;alagar, encharcar, inundar, invadir<br>","<small><small>valências:&ensp;[ACT,LOC] ou [ACT,PAT,LOC]</small></small><br>"
effundo,lilaLemma:100687,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01475536-v"" target=""_blank"">01475536-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;transformar solto ou livre de contenção</small><br>,"<small><small>lexemas:</small></small>&ensp;liberar, libertar, soltar<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,DIR1,PAT]</small></small><br>"
educo,lilaLemma:100589,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01351170-v"" target=""_blank"">01351170-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;remover, geralmente com alguma força ou esforço; também usado em um sentido abstrato</small><br>","<small><small>lexemas:</small></small>&ensp;extrair, sacar, tirar<br>","<small><small>valências:&ensp;[ACT,DIR1,PAT] ou [ACT,PAT,DIR1] ou [ACT,ORIG,PAT] ou [ACT,PAT,DIR1,DIR3] ou [ACT,PAT] ou [ACT,DIR1,DIR3,PAT]</small></small><br>"
eligo,lilaLemma:100824,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01351170-v"" target=""_blank"">01351170-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>definição:</small>&ensp;remover, geralmente com alguma força ou esforço; também usado em um sentido abstrato</small><br>","<small><small>lexemas:</small></small>&ensp;extrair, sacar, tirar<br>","<small><small>valências:&ensp;[ACT,DIR1,PAT] ou [ACT,PAT,DIR1] ou [ACT,ORIG,PAT] ou [ACT,PAT,DIR1,DIR3] ou [ACT,PAT] ou [ACT,DIR1,DIR3,PAT]</small></small><br>"
eo,lilaLemma:101183,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01380122-v"" target=""_blank"">01380122-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>definição:</small>&ensp;tornar-se distribuído ou difundido</small><br>,"<small><small>lexemas:</small></small>&ensp;difundir, propagar<br>","<small><small>valências:&ensp;[ACT] ou [ACT,DIR3]</small></small><br>"
